,rhodot,2km path,1km simulation,2km simulation,5km simulation,10km simulation,15km simulation
rhodot,1.0,0.955305510236,0.40500383718,0.931159489613,0.827742927082,0.781241225042,0.731045254278
2km path,0.955305510236,1.0,0.459190715745,0.980648885886,0.922933922618,0.811340208096,0.765326038384
1km simulation,0.40500383718,0.459190715745,1.0,0.4675439013,0.500645593602,0.301887874514,0.255099504602
2km simulation,0.931159489613,0.980648885886,0.4675439013,1.0,0.944565859632,0.824272503934,0.784031193865
5km simulation,0.827742927082,0.922933922618,0.500645593602,0.944565859632,1.0,0.870226739906,0.793969192028
10km simulation,0.781241225042,0.811340208096,0.301887874514,0.824272503934,0.870226739906,1.0,0.937467518655
15km simulation,0.731045254278,0.765326038384,0.255099504602,0.784031193865,0.793969192028,0.937467518655,1.0
,rhodot,2km path,1km simulation,2km simulation,5km simulation,10km simulation,15km simulation
count,2292.0,2292.0,2292.0,2292.0,2292.0,2292.0,2292.0
mean,-1.37947853725e-05,-1.34205426934e-05,-1.05300193169e-05,-1.28292912495e-05,-6.08232378511e-06,-7.03968710831e-07,-2.95804155202e-06
std,8.49793783004e-05,7.56522320714e-05,5.34364109685e-05,6.68593209925e-05,5.42354520568e-05,3.9582470822e-05,3.37073038031e-05
min,-0.000305168583127,-0.000343084465437,-0.000308134361142,-0.000287536410446,-0.000279547635862,-0.000130742653042,-0.000117807365929
25%,-6.70998380857e-05,-6.03679903891e-05,-2.87979401897e-05,-5.2866152018e-05,-3.74812350092e-05,-2.53564305659e-05,-2.39735271081e-05
50%,-1.41068886446e-05,-1.38626619013e-05,-3.60193943557e-07,-1.24798890758e-05,-4.04981847818e-06,4.83937345767e-07,-5.47994660345e-06
75%,3.36467786284e-05,3.19539211595e-05,6.89625845701e-06,3.07458248395e-05,3.00876286372e-05,2.32669287736e-05,1.64900519798e-05
max,0.000271495326718,0.000253561567433,0.000224328320815,0.000216834455797,0.00017605048934,0.000137111440375,0.00011205950658
